Bank_id,Year,Bank_name,Sector
89,2019,SBM BANK (INDIA) LTD,Foreign
89,2020,SBM BANK (INDIA) LTD,Foreign
90,2005,SHINHAN BANK,Foreign
90,2006,SHINHAN BANK,Foreign
90,2007,SHINHAN BANK,Foreign
90,2008,SHINHAN BANK,Foreign
90,2009,SHINHAN BANK,Foreign
90,2010,SHINHAN BANK,Foreign
90,2011,SHINHAN BANK,Foreign
90,2012,SHINHAN BANK,Foreign
90,2013,SHINHAN BANK,Foreign
90,2014,SHINHAN BANK,Foreign
90,2015,SHINHAN BANK,Foreign
90,2016,SHINHAN BANK,Foreign
90,2017,SHINHAN BANK,Foreign
90,2018,SHINHAN BANK,Foreign
90,2019,SHINHAN BANK,Foreign
90,2020,SHINHAN BANK,Foreign
91,2005,SOCIETE GENERALE,Foreign
91,2006,SOCIETE GENERALE,Foreign
91,2007,SOCIETE GENERALE,Foreign
91,2008,SOCIETE GENERALE,Foreign
91,2009,SOCIETE GENERALE,Foreign
91,2010,SOCIETE GENERALE,Foreign
91,2011,SOCIETE GENERALE,Foreign
91,2012,SOCIETE GENERALE,Foreign
91,2013,SOCIETE GENERALE,Foreign
91,2014,SOCIETE GENERALE,Foreign
91,2015,SOCIETE GENERALE,Foreign
91,2016,SOCIETE GENERALE,Foreign
91,2017,SOCIETE GENERALE,Foreign
91,2018,SOCIETE GENERALE,Foreign
91,2019,SOCIETE GENERALE,Foreign
91,2020,SOCIETE GENERALE,Foreign
92,2005,SONALI BANK,Foreign
92,2006,SONALI BANK,Foreign
92,2007,SONALI BANK,Foreign
92,2008,SONALI BANK,Foreign
92,2009,SONALI BANK,Foreign
